row,col,x_m,y_m,lat,lon,elev_m,slope_deg,roughness_m,local_relief_m,landform_code,landform_name,move_cost_infantry,move_cost_vehicle,water,rail,road,antitank_ditch
1,1,50.000,50.000,50.990450,36.620716,235.790,0.000,3.538,8.866,0,plain,1.000,1.000,false,false,false,false
1,2,150.000,50.000,50.990450,36.622147,234.646,0.000,3.433,9.256,0,plain,1.000,1.000,false,false,false,false
1,3,250.000,50.000,50.990450,36.623578,236.690,0.000,4.258,12.352,0,plain,1.000,1.000,false,false,false,false
1,4,350.000,50.000,50.990450,36.625009,239.319,0.000,5.562,13.928,0,plain,1.000,1.000,false,false,false,false
1,5,450.000,50.000,50.990450,36.626440,241.278,0.000,6.399,14.431,0,plain,1.000,1.000,false,false,false,false
1,6,550.000,50.000,50.990450,36.627871,241.700,0.000,6.658,15.740,0,plain,1.000,1.000,false,false,false,false
1,7,650.000,50.000,50.990450,36.629302,242.659,0.000,7.327,18.413,0,plain,1.000,1.000,false,false,false,false
1,8,750.000,50.000,50.990450,36.630733,245.983,0.000,8.334,18.474,4,forest,1.500,4.000,false,false,false,false
1,9,850.000,50.000,50.990450,36.632164,246.023,0.000,8.665,19.357,4,forest,1.500,4.000,false,false,false,false
1,10,950.000,50.000,50.990450,36.633596,246.238,0.000,8.671,19.796,4,forest,1.500,4.000,false,false,false,false
1,11,1050.000,50.000,50.990450,36.635027,242.950,0.000,7.561,19.796,0,plain,1.000,1.000,false,false,false,false
1,12,1150.000,50.000,50.990450,36.636458,242.563,0.000,7.424,20.513,4,forest,1.500,4.000,false,false,false,false
1,13,1250.000,50.000,50.990450,36.637889,247.849,0.000,9.298,22.431,4,forest,1.500,4.000,false,false,false,false
1,14,1350.000,50.000,50.990450,36.639320,247.176,0.000,9.400,22.431,4,forest,1.500,4.000,false,false,false,false
1,15,1450.000,50.000,50.990450,36.640751,244.697,0.000,8.142,21.510,4,forest,1.500,4.000,false,false,false,false
1,16,1550.000,50.000,50.990450,36.642182,240.582,0.000,6.415,18.518,4,forest,1.500,4.000,false,false,false,false
1,17,1650.000,50.000,50.990450,36.643613,228.492,0.000,3.228,17.697,4,forest,1.500,4.000,false,false,false,false
1,18,1750.000,50.000,50.990450,36.645045,231.286,0.000,2.614,11.000,4,forest,1.500,4.000,false,false,false,false
1,19,1850.000,50.000,50.990450,36.646476,232.475,0.000,2.576,10.413,4,forest,1.500,4.000,false,false,false,false
1,20,1950.000,50.000,50.990450,36.647907,230.967,0.000,2.567,13.143,4,forest,1.500,4.000,false,false,false,false
1,21,2050.000,50.000,50.990450,36.649338,237.144,0.000,4.243,13.683,4,forest,1.500,4.000,false,false,false,false
1,22,2150.000,50.000,50.990450,36.650769,237.649,0.000,4.493,12.179,4,forest,1.500,4.000,false,false,false,false
1,23,2250.000,50.000,50.990450,36.652200,235.052,0.000,3.846,10.079,4,forest,1.500,4.000,false,false,false,false
1,24,2350.000,50.000,50.990450,36.653631,232.178,0.000,2.888,9.431,0,plain,1.000,1.000,false,false,false,false
1,25,2450.000,50.000,50.990450,36.655062,232.184,0.000,2.717,8.562,4,forest,1.500,4.000,false,false,false,false
1,26,2550.000,50.000,50.990450,36.656493,232.363,0.000,2.445,10.567,4,forest,1.500,4.000,false,false,false,false
1,27,2650.000,50.000,50.990450,36.657925,225.871,0.000,2.380,13.331,0,plain,1.000,1.000,false,false,false,false
1,28,2750.000,50.000,50.990450,36.659356,219.293,0.000,3.934,12.279,0,plain,1.000,1.000,false,false,false,false
1,29,2850.000,50.000,50.990450,36.660787,215.479,0.000,5.648,15.924,0,plain,1.000,1.000,false,false,false,false
1,30,2950.000,50.000,50.990450,36.662218,212.137,0.000,7.835,31.389,4,forest,1.500,4.000,false,false,false,false
1,31,3050.000,50.000,50.990450,36.663649,201.141,0.000,13.668,38.142,4,forest,1.500,4.000,false,false,false,false
1,32,3150.000,50.000,50.990450,36.665080,191.386,0.000,15.974,38.142,4,forest,1.500,4.000,false,false,false,false
1,33,3250.000,50.000,50.990450,36.666511,206.371,0.000,10.909,37.969,4,forest,1.500,4.000,false,false,false,false
1,34,3350.000,50.000,50.990450,36.667942,222.622,0.000,3.962,25.522,4,forest,1.500,4.000,false,false,false,false
1,35,3450.000,50.000,50.990450,36.669374,225.456,0.000,1.363,9.382,4,forest,1.500,4.000,false,false,false,false
1,36,3550.000,50.000,50.990450,36.670805,226.447,0.000,1.123,6.712,4,forest,1.500,4.000,false,false,false,false
1,37,3650.000,50.000,50.990450,36.672236,226.474,0.000,1.280,7.578,4,forest,1.500,4.000,false,false,false,false
1,38,3750.000,50.000,50.990450,36.673667,223.112,0.000,1.904,6.438,4,forest,1.500,4.000,false,false,false,false
1,39,3850.000,50.000,50.990450,36.675098,224.137,0.000,1.626,4.862,0,plain,1.000,1.000,false,false,false,false
1,40,3950.000,50.000,50.990450,36.676529,225.559,0.000,1.359,4.315,0,plain,1.000,1.000,false,false,false,false
1,41,4050.000,50.000,50.990450,36.677960,225.443,0.000,1.278,4.315,0,plain,1.000,1.000,false,false,false,false
1,42,4150.000,50.000,50.990450,36.679391,226.714,0.000,0.445,2.935,0,plain,1.000,1.000,false,false,false,false
1,43,4250.000,50.000,50.990450,36.680822,226.786,0.000,0.677,3.893,0,plain,1.000,1.000,false,false,false,false
1,44,4350.000,50.000,50.990450,36.682254,225.072,0.000,1.398,5.116,0,plain,1.000,1.000,false,false,false,false
1,45,4450.000,50.000,50.990450,36.683685,222.530,0.000,2.477,9.107,0,plain,1.000,1.000,false,false,false,false
1,46,4550.000,50.000,50.990450,36.685116,219.849,0.000,3.899,13.425,0,plain,1.000,1.000,false,false,false,false
1,47,4650.000,50.000,50.990450,36.686547,216.003,0.000,5.666,18.434,0,plain,1.000,1.000,false,false,false,false
1,48,4750.000,50.000,50.990450,36.687978,211.853,0.000,7.835,25.801,0,plain,1.000,1.000,false,false,false,false
1,49,4850.000,50.000,50.990450,36.689409,207.000,0.000,10.085,28.286,0,plain,1.000,1.000,false,false,false,false
1,50,4950.000,50.000,50.990450,36.690840,203.043,0.000,12.262,34.416,0,plain,1.000,1.000,false,false,false,false
1,51,5050.000,50.000,50.990450,36.692271,196.585,0.000,14.873,39.083,0,plain,1.000,1.000,false,false,false,false
1,52,5150.000,50.000,50.990450,36.693703,191.148,0.000,17.600,45.360,0,plain,1.000,1.000,false,false,false,false
1,53,5250.000,50.000,50.990450,36.695134,183.329,0.000,20.955,50.148,0,plain,1.000,1.000,false,false,false,false
1,54,5350.000,50.000,50.990450,36.696565,177.422,0.000,23.550,53.118,0,plain,1.000,1.000,false,false,false,false
1,55,5450.000,50.000,50.990450,36.697996,174.591,0.000,24.153,53.170,0,plain,1.000,1.000,false,false,false,false
1,56,5550.000,50.000,50.990450,36.699427,185.582,0.000,20.173,53.126,4,forest,1.500,4.000,false,false,false,false
1,57,5650.000,50.000,50.990450,36.700858,190.971,0.000,17.073,41.987,0,plain,1.000,1.000,false,false,false,false
1,58,5750.000,50.000,50.990450,36.702289,192.312,0.000,16.119,36.622,0,plain,1.000,1.000,false,false,false,false
1,59,5850.000,50.000,50.990450,36.703720,193.622,0.000,15.454,35.380,4,forest,1.500,4.000,false,false,false,false
1,60,5950.000,50.000,50.990450,36.705151,195.759,0.000,14.719,33.948,4,forest,1.500,4.000,false,false,false,false
1,61,6050.000,50.000,50.990450,36.706583,198.357,0.000,13.921,36.001,4,forest,1.500,4.000,false,false,false,false
1,62,6150.000,50.000,50.990450,36.708014,191.783,0.000,16.255,41.611,0,plain,1.000,1.000,false,false,false,false
1,63,6250.000,50.000,50.990450,36.709445,186.565,0.000,18.270,41.611,0,plain,1.000,1.000,false,false,false,false
1,64,6350.000,50.000,50.990450,36.710876,199.198,0.000,14.828,41.005,4,forest,1.500,4.000,false,false,false,false
1,65,6450.000,50.000,50.990450,36.712307,212.676,0.000,8.723,36.585,4,forest,1.500,4.000,false,false,false,false
1,66,6550.000,50.000,50.990450,36.713738,218.587,0.000,4.482,24.185,0,plain,1.000,1.000,false,false,false,false
1,67,6650.000,50.000,50.990450,36.715169,221.774,0.000,2.899,12.831,0,plain,1.000,1.000,false,false,false,false
1,68,6750.000,50.000,50.990450,36.716600,222.942,0.000,2.074,8.779,0,plain,1.000,1.000,false,false,false,false
1,69,6850.000,50.000,50.990450,36.718032,225.599,0.000,1.409,5.870,0,plain,1.000,1.000,false,false,false,false
1,70,6950.000,50.000,50.990450,36.719463,227.343,0.000,1.269,9.188,0,plain,1.000,1.000,false,false,false,false
1,71,7050.000,50.000,50.990450,36.720894,232.516,0.000,2.258,7.146,0,plain,1.000,1.000,false,false,false,false
1,72,7150.000,50.000,50.990450,36.722325,233.031,0.000,2.469,6.502,0,plain,1.000,1.000,false,false,false,false
1,73,7250.000,50.000,50.990450,36.723756,233.689,0.000,2.706,7.697,0,plain,1.000,1.000,false,false,false,false
1,74,7350.000,50.000,50.990450,36.725187,234.563,0.000,3.508,9.403,0,plain,1.000,1.000,false,false,false,false
1,75,7450.000,50.000,50.990450,36.726618,236.722,0.000,4.128,9.447,0,plain,1.000,1.000,false,false,false,false
1,76,7550.000,50.000,50.990450,36.728049,236.299,0.000,3.955,10.148,0,plain,1.000,1.000,false,false,false,false
1,77,7650.000,50.000,50.990450,36.729480,237.461,0.000,4.571,11.717,0,plain,1.000,1.000,false,false,false,false
1,78,7750.000,50.000,50.990450,36.730912,239.286,0.000,5.327,12.002,0,plain,1.000,1.000,false,false,false,false
1,79,7850.000,50.000,50.990450,36.732343,238.755,0.000,5.366,13.002,0,plain,1.000,1.000,false,false,false,false
1,80,7950.000,50.000,50.990450,36.733774,240.572,0.000,5.760,13.217,0,plain,1.000,1.000,false,false,false,false
1,81,8050.000,50.000,50.990450,36.735205,240.443,0.000,6.127,14.173,0,plain,1.000,1.000,false,false,false,false
1,82,8150.000,50.000,50.990450,36.736636,241.481,0.000,6.430,14.992,0,plain,1.000,1.000,false,false,false,false
1,83,8250.000,50.000,50.990450,36.738067,241.570,0.000,6.747,16.533,0,plain,1.000,1.000,false,false,false,false
1,84,8350.000,50.000,50.990450,36.739498,243.103,0.000,7.572,19.907,0,plain,1.000,1.000,false,false,false,false
1,85,8450.000,50.000,50.990450,36.740929,245.928,0.000,8.693,20.384,0,plain,1.000,1.000,false,false,false,false
1,86,8550.000,50.000,50.990450,36.742361,247.167,0.000,9.375,21.337,0,plain,1.000,1.000,false,false,false,false
1,87,8650.000,50.000,50.990450,36.743792,248.214,0.000,9.609,21.337,0,plain,1.000,1.000,false,false,false,false
1,88,8750.000,50.000,50.990450,36.745223,246.529,0.000,8.875,20.890,0,plain,1.000,1.000,false,false,false,false
1,89,8850.000,50.000,50.990450,36.746654,244.879,0.000,8.133,19.126,0,plain,1.000,1.000,false,false,false,false
1,90,8950.000,50.000,50.990450,36.748085,242.377,0.000,7.145,18.206,0,plain,1.000,1.000,false,false,false,false
1,91,9050.000,50.000,50.990450,36.749516,240.158,0.000,6.003,15.608,0,plain,1.000,1.000,false,false,false,false
1,92,9150.000,50.000,50.990450,36.750947,237.865,0.000,4.690,13.015,0,plain,1.000,1.000,false,false,false,false
1,93,9250.000,50.000,50.990450,36.752378,231.911,0.000,2.717,10.497,0,plain,1.000,1.000,false,false,false,false
1,94,9350.000,50.000,50.990450,36.753809,229.765,0.000,1.522,7.354,0,plain,1.000,1.000,false,false,false,false
1,95,9450.000,50.000,50.990450,36.755241,227.013,0.000,1.696,9.936,0,plain,1.000,1.000,false,false,false,false
1,96,9550.000,50.000,50.990450,36.756672,222.588,0.000,2.145,7.353,0,plain,1.000,1.000,false,false,false,false
1,97,9650.000,50.000,50.990450,36.758103,222.246,0.000,2.903,9.963,0,plain,1.000,1.000,false,false,false,false
1,98,9750.000,50.000,50.990450,36.759534,217.606,0.000,4.571,13.901,0,plain,1.000,1.000,false,false,false,false
1,99,9850.000,50.000,50.990450,36.760965,213.668,0.000,6.396,17.170,0,plain,1.000,1.000,false,false,false,false
1,100,9950.000,50.000,50.990450,36.762396,210.399,0.000,7.888,20.386,0,plain,1.000,1.000,false,false,false,false
1,101,10050.000,50.000,50.990450,36.763827,207.183,0.000,9.495,25.734,0,plain,1.000,1.000,false,false,false,false
1,102,10150.000,50.000,50.990450,36.765258,201.835,0.000,11.968,32.365,0,plain,1.000,1.000,false,false,false,false
1,103,10250.000,50.000,50.990450,36.766690,195.205,0.000,15.311,39.932,0,plain,1.000,1.000,false,false,false,false
1,104,10350.000,50.000,50.990450,36.768121,187.637,0.000,18.748,51.137,4,forest,1.500,4.000,false,false,false,false
1,105,10450.000,50.000,50.990450,36.769552,176.432,0.000,23.899,59.998,4,forest,1.500,4.000,false,false,false,false
1,106,10550.000,50.000,50.990450,36.770983,169.134,0.000,26.633,59.998,4,forest,1.500,4.000,false,false,false,false
1,107,10650.000,50.000,50.990450,36.772414,182.397,0.000,22.370,59.032,4,forest,1.500,4.000,false,false,false,false
1,108,10750.000,50.000,50.990450,36.773845,199.345,0.000,15.002,53.888,4,forest,1.500,4.000,false,false,false,false
1,109,10850.000,50.000,50.990450,36.775276,209.356,0.000,9.624,37.277,4,forest,1.500,4.000,false,false,false,false
1,110,10950.000,50.000,50.990450,36.776707,215.973,0.000,6.529,26.052,4,forest,1.500,4.000,false,false,false,false
1,111,11050.000,50.000,50.990450,36.778138,220.147,0.000,4.623,22.050,4,forest,1.500,4.000,false,false,false,false
1,112,11150.000,50.000,50.990450,36.779570,224.747,0.000,3.135,20.487,4,forest,1.500,4.000,false,false,false,false
1,113,11250.000,50.000,50.990450,36.781001,225.714,0.000,1.157,13.110,4,forest,1.500,4.000,false,false,false,false
1,114,11350.000,50.000,50.990450,36.782432,227.233,0.000,0.730,5.267,0,plain,1.000,1.000,false,false,false,false
1,115,11450.000,50.000,50.990450,36.783863,228.597,0.000,1.003,7.170,0,plain,1.000,1.000,false,false,false,false
1,116,11550.000,50.000,50.990450,36.785294,231.245,0.000,1.924,5.621,0,plain,1.000,1.000,false,false,false,false
1,117,11650.000,50.000,50.990450,36.786725,232.571,0.000,2.471,6.431,0,plain,1.000,1.000,false,false,false,false
1,118,11750.000,50.000,50.990450,36.788156,233.600,0.000,2.681,6.474,0,plain,1.000,1.000,false,false,false,false
1,119,11850.000,50.000,50.990450,36.789587,231.737,0.000,2.101,8.212,0,plain,1.000,1.000,false,false,false,false
1,120,11950.000,50.000,50.990450,36.791019,230.676,0.000,1.710,7.832,0,plain,1.000,1.000,false,false,false,false
1,121,12050.000,50.000,50.990450,36.792450,225.307,0.000,1.690,8.848,0,plain,1.000,1.000,false,false,false,false
1,122,12150.000,50.000,50.990450,36.793881,222.371,0.000,2.701,9.412,0,plain,1.000,1.000,false,false,false,false
1,123,12250.000,50.000,50.990450,36.795312,218.823,0.000,4.183,14.366,0,plain,1.000,1.000,false,false,false,false
1,124,12350.000,50.000,50.990450,36.796743,216.076,0.000,5.422,17.039,0,plain,1.000,1.000,false,false,false,false
1,125,12450.000,50.000,50.990450,36.798174,215.132,0.000,6.396,26.307,0,plain,1.000,1.000,false,false,false,false
1,126,12550.000,50.000,50.990450,36.799605,209.800,0.000,8.990,36.160,4,forest,1.500,4.000,false,false,false,false
1,127,12650.000,50.000,50.990450,36.801036,203.261,0.000,13.590,38.699,4,forest,1.500,4.000,false,false,false,false
1,128,12750.000,50.000,50.990450,36.802467,190.886,0.000,16.438,38.699,0,plain,1.000,1.000,false,false,false,false
1,129,12850.000,50.000,50.990450,36.803899,197.643,0.000,13.833,37.921,0,plain,1.000,1.000,false,false,false,false
1,130,12950.000,50.000,50.990450,36.805330,205.156,0.000,10.572,29.926,0,plain,1.000,1.000,false,false,false,false
1,131,13050.000,50.000,50.990450,36.806761,206.435,0.000,10.063,24.257,0,plain,1.000,1.000,false,false,false,false
1,132,13150.000,50.000,50.990450,36.808192,203.435,0.000,12.278,39.625,0,plain,1.000,1.000,false,false,false,false
1,133,13250.000,50.000,50.990450,36.809623,189.130,0.000,17.347,42.535,0,plain,1.000,1.000,false,false,false,false
1,134,13350.000,50.000,50.990450,36.811054,198.419,0.000,14.705,42.535,0,plain,1.000,1.000,false,false,false,false
1,135,13450.000,50.000,50.990450,36.812485,212.160,0.000,7.649,29.150,4,forest,1.500,4.000,false,false,false,false
1,136,13550.000,50.000,50.990450,36.813916,216.007,0.000,5.486,15.409,0,plain,1.000,1.000,false,false,false,false
1,137,13650.000,50.000,50.990450,36.815348,219.984,0.000,3.521,11.563,0,plain,1.000,1.000,false,false,false,false
1,138,13750.000,50.000,50.990450,36.816779,225.461,0.000,1.701,9.595,0,plain,1.000,1.000,false,false,false,false
1,139,13850.000,50.000,50.990450,36.818210,228.500,0.000,0.734,4.825,0,plain,1.000,1.000,false,false,false,false
1,140,13950.000,50.000,50.990450,36.819641,228.668,0.000,0.637,2.621,0,plain,1.000,1.000,false,false,false,false
2,1,50.000,150.000,50.991349,36.620716,230.708,2.751,1.896,9.596,0,plain,1.000,1.000,false,false,false,false
2,2,150.000,150.000,50.991349,36.622147,231.389,2.277,1.816,9.986,0,plain,1.000,1.000,false,false,false,false
2,3,250.000,150.000,50.991349,36.623578,234.829,2.352,1.647,11.233,0,plain,1.000,1.000,false,false,false,false
2,4,350.000,150.000,50.991349,36.625009,238.849,2.311,1.521,10.729,0,plain,1.000,1.000,false,false,false,false
2,5,450.000,150.000,50.991349,36.626440,240.806,0.825,0.820,9.861,0,plain,1.000,1.000,false,false,false,false
2,6,550.000,150.000,50.991349,36.627871,241.524,0.807,0.587,9.991,0,plain,1.000,1.000,false,false,false,false
2,7,650.000,150.000,50.991349,36.629302,243.309,0.958,0.904,11.579,0,plain,1.000,1.000,false,false,false,false
2,8,750.000,150.000,50.991349,36.630733,243.091,1.526,0.988,11.373,0,plain,1.000,1.000,false,false,false,false
2,9,850.000,150.000,50.991349,36.632164,245.154,1.258,1.035,13.779,4,forest,1.500,4.000,false,false,false,false
2,10,950.000,150.000,50.991349,36.633596,246.323,1.212,1.013,14.847,4,forest,1.500,4.000,false,false,false,false
2,11,1050.000,150.000,50.991349,36.635027,245.620,3.193,2.107,15.349,4,forest,1.500,4.000,false,false,false,false
2,12,1150.000,150.000,50.991349,36.636458,242.582,1.831,1.657,14.957,4,forest,1.500,4.000,false,false,false,false
2,13,1250.000,150.000,50.991349,36.637889,245.894,3.494,2.186,15.461,4,forest,1.500,4.000,false,false,false,false
2,14,1350.000,150.000,50.991349,36.639320,248.747,1.792,1.443,14.978,4,forest,1.500,4.000,false,false,false,false
2,15,1450.000,150.000,50.991349,36.640751,244.961,1.718,1.153,15.004,4,forest,1.500,4.000,false,false,false,false
2,16,1550.000,150.000,50.991349,36.642182,241.993,3.446,2.678,17.897,4,forest,1.500,4.000,false,false,false,false
2,17,1650.000,150.000,50.991349,36.643613,231.928,7.100,4.773,21.227,4,forest,1.579,4.420,false,false,false,false
